1,consultation,0.00,4,50
2,acupuncture,35.00,1,70
3,acupuncture,50.00,1,0
4,acupuncture+acupressure+cupping,50.00,1,70
5,acupuncture+acupressure+cupping,60.00,1,75
6,cupping therapy,15.00,1,65
7,ear candling,15.00,1,60
8,head/shoulder massage,15.00,1,65
9,swedish/thai yoga 30,27.00,1,80
10,swedish/thai yoga 45,33.00,1,70
11,swedish/thai yoga 60,42.00,1,75
12,swedish/thai yoga 90,62.00,1,30
13,swedish/thai yoga 120,80.00,1,0
14,sports/deep tissue/Chinese tuina 30,30.00,1,75
15,sports/deep tissue/Chinese tuina 45,35.00,1,50
16,sports/deep tissue/Chinese tuina 60,45.00,1,55
17,sports/deep tissue/Chinese tuina 90,65.00,1,0
18,hot stone/aroma therapy /pregnancy 60,50.00,1,25
19,reflexology 30,30.00,1,60
20,reflexology 45,35.00,1,40
21,reflexology 60,45.00,1,35
22,allergy test standard 150,45.00,1,0
23,allergy test digestion 300,80.00,1,0
24,allergy test comprehensive 500,125.00,1,0
25,Herbal Powder x 1 week,49.00,2,60
26,Herbal Powder x 4 week,196.00,2,70
27,Herbal Powder x 6 week,294.00,2,60
28,Herbal Powder x 8 week,360.00,2,50
29,Herbal Powder x 9 week,392.00,2,50
30,Premium Herbal Powder x1 week,115.00,2,70
31,Premium Herbal Powder x2 week,230.00,2,70
32,Premium Herbal Powder x3 week,300.00,2,70
33,Herbal Med 1,10.00,3,10
34,Herbal Med 2,12.00,3,10
35,Massage oil,18.00,3,10
36,wood lock oil ,20.00,3,10
37,Herbal Patch,2.00,3,10
