1,Half arms strip wax,10.00,1,60
2,3/4 arms strip wax,15.00,1,60
3,full arms strip wax,17.00,1,40
4,Lower half legs strip wax,15.00,1,70
5,upper half legs strip wax,17.00,1,50
6,3/4 legs strip wax,19.00,1,50
7,full legs strip,23.00,1,20
8,nipple strip wax,5.00,1,30
9,shoulders strip wax,7.00,1,30
10,stomach strip wax,10.00,1,30
11,bottom strip wax,10.00,1,15
12,chest strip wax,10.00,1,20
13,lower back strip wax,10.00,1,40
14,upper back strip wax,17.00,1,20
15,full back strip wax,20.00,1,20
16,full body strip wax,57.00,1,20
17,half arm Lycon hot wax,23.00,1,40
18,3/4 arms Lycon hot wax,26.00,1,15
19,full arms Lycon wax,29.00,1,15
20,Lower half legs Lycon hot wax,28.00,1,15
21,upper half legs Lycon hot wax,30.00,1,15
22,3/4 legs Lycon hot wax,35.00,1,15
23,full legs Lycon hot wax,49.00,1,15
24,nipple Lycon hot wax,10.00,1,10
25,shoulders Lycon hot wax,14.00,1,30
26,stomach Lycon hot wax,19.00,1,10
27,bottom Lycon hot wax,19.00,1,10
28,chest Lycon hot wax,19.00,1,10
29,lower back  Lycon hot wax,18.00,1,10
30,upper back Lycon hot wax,25.00,1,10
31,full back  Lycon hot wax,35.00,1,10
32,full body  Lycon hot wax,170.00,1,0
33,under arms waxing,7.00,1,80
34,bikini waxing ,12.00,1,80
35,high bikini waxing,15.00,1,70
36,brazilian waxing,17.00,1,60
37,hollywood waxing,20.00,1,60
38,under arms hot waxing ,10.00,1,70
39,bikini hot waxing,15.00,1,80
40,high bikini hot waxing ,18.00,1,80
41,brazilian hot waxing ,20.00,1,70
42,hollywood hot waxing,23.00,1,60
43,under arm lycon waxing ,15.00,1,40
44,bikini lycon waxing ,22.00,1,60
45,high bikini lycon waxing ,25.00,1,50
46,brazilian lycon waxing,27.00,1,50
47,hollywood lycon waxing,30.00,1,50
48,full face waxing,12.00,1,40
49,full face Lycon waxing,25.00,1,10
50,full face & Neck waxing,15.00,1,15
51,salt & oil scrub ,26.00,1,10
52,ingrow treatment,30.00,1,5
53,body scrub ,57.00,1,0
54,eyebrow Tinting,6.00,1,60
55,eyelash tinting,12.00,1,40
56,eyebrows & eyelashes tinting,15.00,1,30
57,strip lashes,10.00,1,20
58,individual cluster lashes,20.00,1,30
59,Nouveau lash extensions,55.00,1,20
60,extension infill ,30.00,1,15
61,extension removal,7.00,1,15
62,HD eyebrows,15.00,1,30
63,eyebrows waxing,5.00,1,65
64,upper lip waxing,3.00,1,65
65,chin waxing,3.00,1,40
66,nose waxing,3.00,1,30
67,forehead waxing,3.00,1,50
68,cheeks waxing,4.00,1,50
69,sides waxing,5.00,1,50
70,neck waxing,5.00,1,30
71,manicure,12.00,1,80
72,pedicure,23.00,1,60
73,manicure & pedicure,32.00,1,70
74,polish chang hand ,5.00,1,50
75,polish chang toes,8.00,1,50
76,shellac manicure,25.00,1,50
77,shellac pedicure,30.00,1,35
78,shellac soak off ,5.00,1,50
79,full set hand acrylic,20.00,1,50
80,full set toes acrylic,25.00,1,30
81,refill hands/toes acrylic,17.00,1,40
82,take off only acrylic,10.00,1,40
83,full set hand gel,25.00,1,30
84,full set toes gel,30.00,1,30
85,refill hands/toes gel,19.00,1,30
86,take off only  gel,10.00,1,30
87,2 Big toes gel,17.00,1,30
88,eyebrow shaping,3.00,1,80
89,upper lip threading,2.00,1,70
90,chin threading,3.00,1,60
91,nose threading,2.00,1,60
92,forehead threading,3.00,1,60
93,cheeks threading,3.00,1,60
94,sides threading,5.00,1,60
95,neck threading,3.00,1,60
96,full face threading,12.00,1,60
97,full face & neck threading,15.00,1,60
98,express facial ,30.00,1,40
99,chromawhite brightening facial ,45.00,1,20
100,deep cleansing - normal skin,45.00,1,40
101,environmentally-sensitised skin ,45.00,1,30
102,age smart- (anti-ageing) facial,45.00,1,30
103,medibac clearing facial,45.00,1,30
